id,tier,requirement,acceptance,evidence_ref,metric_ref,cadence
GEN-CAP-04,Benchmark evidence,ODD 7.4 linear clustering + placement behaves as specified,"Linear clustering tests pass (clusterLines, simulateLines).","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=clusterLines|simulateLines","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=clusterLines|simulateLines","CI (per PR)"
GEN-CAP-05,Benchmark evidence,ODD 7.5 layer integration + persistence,"Integration + persistence tests pass (replaceListFast, saveDisturbances, anthroDisturbance_Generator, createModObject, disturbanceInfoFromECCC, wrapTerraList, grepMulti).","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=replaceListFast|saveDisturbances|anthroDisturbance_Generator|createModObject|disturbanceInfoFromECCC|wrapTerraList|grepMulti","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=replaceListFast|saveDisturbances|anthroDisturbance_Generator|createModObject|disturbanceInfoFromECCC|wrapTerraList|grepMulti","CI (per PR)"
WS-01,Benchmark evidence,Workspace system suite runs complete successfully,"Latest status per (run_name, replicate) for system runs is success.","runs_csv:docs/traceability/evidence/suite_runs/system_runs.csv?include_run_name_regex=^system_","runs_csv:docs/traceability/evidence/suite_runs/system_runs.csv?include_run_name_regex=^system_","Snapshot (manual)"
WS-02,Benchmark evidence,Workspace ADQD validation suite runs complete successfully,"Latest status per (run_name, replicate) for ADQD validation runs is success.","runs_csv:docs/traceability/evidence/suite_runs/adqd_validation_runs.csv?include_run_name_regex=^ADQD_","runs_csv:docs/traceability/evidence/suite_runs/adqd_validation_runs.csv?include_run_name_regex=^ADQD_","Snapshot (manual)"
WS-03,Benchmark evidence,Workspace sensitivity suite runs complete successfully,"Latest status per (run_name, replicate) for sensitivity runs is success.","runs_csv:docs/traceability/evidence/suite_runs/sensitivity_runs.csv?include_run_name_regex=^sa_","runs_csv:docs/traceability/evidence/suite_runs/sensitivity_runs.csv?include_run_name_regex=^sa_","Snapshot (manual)"
WS-04,Benchmark evidence,Workspace uncertainty suite runs complete successfully,"Latest status per (run_name, replicate) for uncertainty runs is success.","runs_csv:docs/traceability/evidence/suite_runs/uncertainty_runs.csv?include_run_name_regex=^ua_","runs_csv:docs/traceability/evidence/suite_runs/uncertainty_runs.csv?include_run_name_regex=^ua_","Snapshot (manual)"
MET-UA-KEY,Benchmark evidence,Uncertainty suite key metrics summary is produced and parseable,"ua_key_metrics_summary.csv is present and reports medians + uncertainty magnitudes (CV/IQR, shifts).","ua_key_metrics_csv:docs/traceability/evidence/metrics/ua_key_metrics_summary.csv","ua_key_metrics_csv:docs/traceability/evidence/metrics/ua_key_metrics_summary.csv","Snapshot (manual)"
MET-ADQD-VER,Benchmark evidence,ADQD VERIFICATION metrics summary is produced and parseable,"VERIFICATION ADQD summary CSV is present and key metrics are reported (change prevalence, F1/IoU, QD/AD, rho, linear distance).","adqd_summary_csv:docs/traceability/evidence/metrics/adqd_VERIFICATION__adqd_summary.csv","adqd_summary_csv:docs/traceability/evidence/metrics/adqd_VERIFICATION__adqd_summary.csv","Snapshot (manual)"
MET-ADQD-HOLD,Benchmark evidence,ADQD HOLDOUT metrics summary is produced and parseable,"HOLDOUT ADQD summary CSV is present and key metrics are reported (change prevalence, F1/IoU, QD/AD, rho, linear distance).","adqd_summary_csv:docs/traceability/evidence/metrics/adqd_HOLDOUT__adqd_summary.csv","adqd_summary_csv:docs/traceability/evidence/metrics/adqd_HOLDOUT__adqd_summary.csv","Snapshot (manual)"
MET-ADQD-VER-CAR,Benchmark evidence,ADQD VERIFICATION_CARIBOU metrics summary is produced and parseable,"VERIFICATION_CARIBOU ADQD summary CSV is present and key metrics are reported (change prevalence, F1/IoU, QD/AD, rho, linear distance).","adqd_summary_csv:docs/traceability/evidence/metrics/adqd_VERIFICATION_CARIBOU__adqd_summary.csv","adqd_summary_csv:docs/traceability/evidence/metrics/adqd_VERIFICATION_CARIBOU__adqd_summary.csv","Snapshot (manual)"
MET-ADQD-HOLD-CAR,Benchmark evidence,ADQD HOLDOUT_CARIBOU metrics summary is produced and parseable,"HOLDOUT_CARIBOU ADQD summary CSV is present and key metrics are reported (change prevalence, F1/IoU, QD/AD, rho, linear distance).","adqd_summary_csv:docs/traceability/evidence/metrics/adqd_HOLDOUT_CARIBOU__adqd_summary.csv","adqd_summary_csv:docs/traceability/evidence/metrics/adqd_HOLDOUT_CARIBOU__adqd_summary.csv","Snapshot (manual)"
MET-SA-QC,Benchmark evidence,Sensitivity suite standard metrics summary (pending),"Pending: standard SA pipeline outputs are not currently produced.","file:docs/traceability/evidence/metrics/sa_standard_metrics_pending.txt","file:docs/traceability/evidence/metrics/sa_standard_metrics_pending.txt","Snapshot (manual)"
